contracts_punish,Period
contracts_chat,
GroupMember,text
contracts_chat,
5,hi
contracts_chat,
1,Hi
contracts_chat,
4,hey
contracts_chat,
5,So
contracts_chat,
3,hello
contracts_chat,
5,how much are you guys going to invest
contracts_chat,
4,so how much should we invest
contracts_chat,
1,Ideal is in the range 32-40
contracts_chat,
2,5 each?
contracts_chat,
3,5 each? or naw
contracts_chat,
5,start low
contracts_chat,
1,so we should each invest 4-5
contracts_chat,
5,the smart move is each person invests 4-5
contracts_chat,
4,yeah
contracts_chat,
5,yeah
contracts_chat,
5,3-5?
contracts_chat,
1,"However, we have no idea what G2 is going to go"
contracts_chat,
3,5?
contracts_chat,
1,i agree with 3-5
contracts_chat,
1,hopefully they can do math
contracts_chat,
5,hopefully there aren't any greedy bastards 
contracts_chat,
1,5 would probably be good
contracts_chat,
1,"I'd say, for the first session, let's lowball it at 4, and then see what the G2 people do"
contracts_chat,
4,let's all invest 4?
contracts_chat,
4,yeah
contracts_chat,
4,
contracts_chat,
4,okay 5
contracts_chat,
3,okay
contracts_chat,
5,I'm good with 4
contracts_chat,
5,sure
contracts_chat,
2,great
contracts_chat,
1,alright
contracts_chat,
GroupMember,text
contracts_chat,
1,"4 and 5, I can see you people getting greedy"
contracts_chat,
3,i thought we were all sticking to 5...
contracts_chat,
5,do we give everyone 0 deduction?
contracts_chat,
2,"if everyone puts in too many, we're all going to lose"
contracts_chat,
4,okay so what is the advantage of assigning deduction points? don't they just cost you money
contracts_chat,
3,group 2 cant give deductions
contracts_chat,
3,put them in their place!! >:(
contracts_chat,
5,yeah 
contracts_chat,
1,deduction points are a way to hurt people who try and take too much
contracts_chat,
5,"agreed, i meant within our group"
contracts_chat,
5,pretty much
contracts_chat,
4,okay
contracts_chat,
1,"so if someone started putting 12 in, you could hit them with deduction points"
contracts_chat,
4,gotcha
contracts_chat,
2,"stick to 5, and everyone deduct a few from the kid who keeps doing 12?"
contracts_chat,
4,so how much should we invest?
contracts_chat,
3,yeah 0 deductions
contracts_chat,
3,YES
contracts_chat,
1,sounds good to me
contracts_chat,
3,6
contracts_chat,
4,shouldnt it be like 6 or 7 each?
contracts_chat,
4,yeah
contracts_chat,
4,6 sounds good
contracts_chat,
5,concensous in how many deductions we should give him?
contracts_chat,
5,why
contracts_chat,
5,or her
contracts_chat,
1,6 or 7 each gets us nearly ot negative payoff
contracts_chat,
3,1 each?
contracts_chat,
1,to
contracts_chat,
2,2 each
contracts_chat,
5,yeah
contracts_chat,
3,brutal
contracts_chat,
1,i think 2 each
contracts_chat,
5,the optimal is 5
contracts_chat,
5,cool
contracts_chat,
4,okay
contracts_chat,
5,but we can't do that because of group 2
contracts_chat,
1,so we do 4
contracts_chat,
4,right
contracts_chat,
5,they've been investing 18 total
contracts_chat,
GroupMember,text
contracts_chat,
5,wtf 3
contracts_chat,
2,what do we do?
contracts_chat,
2,more deductions?
contracts_chat,
1,"Eh, they got greedy"
contracts_chat,
3,what?
contracts_chat,
1,That 8 investment last round?
contracts_chat,
1,That one person is still doing 12. i say maybe do 3 each for him/her
contracts_chat,
4,is everyone deducting 2 from the kids who is investing 12 in group 2
contracts_chat,
3,yes
contracts_chat,
5,yeah
contracts_chat,
2,yes
contracts_chat,
1,yes
contracts_chat,
3,it helped bring the average up to 38
contracts_chat,
5,i'm giving 2 deductions for all of group 2
contracts_chat,
3,i helped us out
contracts_chat,
5,hey how much are you guys allotting for deductions?
contracts_chat,
1,"Uh, you helped yourself out"
contracts_chat,
5,3 has a point
contracts_chat,
4,do we do that instead
contracts_chat,
4,so should we keep investing 4 and 5 or should we start investing 5 and 6
contracts_chat,
1,"I usually just do a couple, just to zing anyone who gets greedy"
contracts_chat,
2,lets do more for the kid whos doing 12
contracts_chat,
3,theres one group 2 that is putting in 5 though...
contracts_chat,
1,like that group 2 person who put in 10
contracts_chat,
2,i dont see a reason to deduct from the others
contracts_chat,
4,or give more dectuctions with the kid who is puttig in 12
contracts_chat,
5,just focus alld eductions to that due then
contracts_chat,
5,*dude
contracts_chat,
5,i've been doing 5-6 points 
contracts_chat,
3,okay
contracts_chat,
4,ok
contracts_chat,
1,4 or 5 produces socially optimal outcomes
contracts_chat,
1,"i agree, lets do more for the 12 kid"
contracts_chat,
5,yeah the other members all good
contracts_chat,
3,okay
contracts_chat,
5,i'd say stick to 4-5
contracts_chat,
5,just give it to that kid
contracts_chat,
5,get greedy idc
contracts_chat,
3,as long as no one does 10-12
contracts_chat,
2,what about 5 each?
contracts_chat,
3,sounds good
contracts_chat,
3,we shouldnt have a problem
contracts_chat,
5,yeah
contracts_chat,
1,im down for that
contracts_chat,
4,okay
contracts_chat,
5,alright
contracts_chat,
1,"anyone goes that far, just dump deductions on them"
contracts_chat,
3,so 1-9
contracts_chat,
GroupMember,text
contracts_chat,
5,my bad
contracts_chat,
1,"cool your jets, 3 and 5"
contracts_chat,
3,should we increase it again? 
contracts_chat,
5,i thought someone was gonna go big again
contracts_chat,
1,i calculated it and the kid investing 12 is still getting more than us even if we all do 5 deductions
contracts_chat,
3,yeah 
contracts_chat,
1,"Well, two people going big would screw everyone over, big-time"
contracts_chat,
5,"to be honest, i don't think he will place any less than 12"
contracts_chat,
1,we'd get a total payoff of 400
contracts_chat,
3,good thing group 2 is conservaative :D
contracts_chat,
3,i wanna keep deducting until he makes less than us -__-
contracts_chat,
2,"do we just let it go, or try and knock him/her out?"
contracts_chat,
1,i was thinking maybe we should all put in 12. we would all get the same amount of money back that way
contracts_chat,
5,yeah but it's better than having one person get everthing 
contracts_chat,
5,True 
contracts_chat,
1,"3, just keep your ass in line"
contracts_chat,
5,yeah
contracts_chat,
4,so do we keep investing 4-6 each
contracts_chat,
2,but it starts getting negative
contracts_chat,
1,and we can dump deductions on anyone who goes too far
contracts_chat,
5,they've been investing smaller amounts
